id,content,usages,type,source
139,There's a heaviness in the air that begins to trigger something inside of me.,14,3,The Great Saltair Curse
17,"We immediately go inside. And because Aaron is being affected, we follow his lead.",16,0,Whitmore Mansion
201,All it takes is one push and you can critically injure me! Do it!!,14,3,
13,"Aaron, because that spirit just called you by first and last name, I''m sending *you* there to investigate tonight.",17,0,Territorial Enterprise
150,A very negative spirit attachment followed me home and affected me for about 3 days. I can't wait to come back and do it again.,15,3,Territorial Enterprise
159,"I want all of us to hum together, so we get in perfect synchronicity, and I want us to again, calibrate our energy.",14,3,Montecito Mansion Of Mystery
123,"Sometimes you go to someone''s house and you don''t know if there''s gonna be 10, 20, 40, 50 people at this party, or you''re gonna go there by yourself and talk to a bunch of walls.",14,3,Battle of Los Angeles
191,"We won''t send a kid into space, but we''ll give him a portal to another dimension and invite a demon in.",14,3,I am Haunted: Living Life Through the Dead (Book)
214,"I''m feeling anger and rage because you can''t spell '"sidjuation'"!",16,5,
49,STOP! Stop running!,14,3,The show's old intro
193,She was crying because she's been astral projecting herself and having a sexual relationship with me in the astral plane for a long time.,14,3,I am Haunted: Living Life Through the Dead (Book)
180,Jay is like Alex Trebek on Speed.,14,3,I am Haunted: Living Life Through the Dead (Book)
142,You wanna push me? Let me feel your touch!,14,3,The Great Saltair Curse
192,I've explored the worst holes on earth and found beauty and wonder in places most people find disgusting.,15,3,I am Haunted: Living Life Through the Dead (Book)
224,ź̵̩͝o̷͇̱͒ź̶͉̺͔o̶͎̪̝̍ ̵̤̳̯̌̀z̴͈̈ȍ̶̧̻̈z̵̗̄͘͠o̸̻͉͑ ̵̪̖̊̉z̶̡͗̏ộ̷͙̚̕z̵̫̳̈́͑̋ǫ̸̤̬̕͘ ̶̮̮̉͒̄z̴̲̑̎o̶̪̍͛̚z̵̰̆õ̴͚̩̚ ̵͎̦͙̊̓z̷̫͍̾͆̊ọ̵̗̏͛z̷̨̬͂̂͘o̸̖̺̐̅̄ ̴̦̀͑̅z̶̤̾͆̿ò̵̺͖̂͘ẕ̵̨̀͘͜o̴̼̼̎ ̷̧̮̙͋̓z̶̝̺̩͛͗ò̶͔́z̷͎̅̌̅ͅo̷̢̜̓ ̶̹͌̐z̸͍̰̐̾͜ȍ̴͎͋z̶͚̙̿̎͆o̴̧̕ ̶͎̰̏̆̂z̵͓̟͚̐o̷̤̼̾z̶̞͌̾͠ơ̸̠͎͇̑͐ ̶͔̹̏̈͆z̴̠͐̈́̕o̴͖̐͑͐z̷̟̃̿͜ò̵͍̤́ ̶̨̅̇͝ž̶̢̥͔̋̀o̷̪͒z̷̰̀ö̶̲͉̯́̌ ̷͓͎̝̋̈́z̶̨̯͙̑̀̂o̴̗͑͌z̷̼̋ȏ̵ͅ ̴̺̈z̸̢̠͛ô̷̤͝z̵̡͍̭̑̍́o̷̘͕͌ ̷̣̔̈́͑z̷͔̍o̷̟͝ź̵̮̽o̴̪͆̿ ̴̛̹̟͆̽z̸̗̏o̶̰̼̖͒͊z̵̘̰̯̆ŏ̸͔͎͌̕ ̶̫̫̰̔͗̀z̸̢͛̀̄o̸̧̝̐z̷̤̎͛̚o̴̻̒ ̴̭̯̀z̵̠̖̈́ͅǫ̸̜̅͂z̸̜̆́͝ŏ̷̼͕̇ ̴̡̝͕̏́͠z̸̪̀̈͠ò̵͕͖̹̉z̷̳̓͌̒o̵̙͆ ̴͎̩̩̚z̴͙͐͛ŏ̶͖͖̣z̸̝͓̎o̷͕͔̩͑ ̴͈̀̒̋ẑ̷͚͕͠ͅo̸͚̥̰̍z̵̹͐̇ô̷̦̋̎ ̵̨̭̭̌͘z̴̰̥̰̄ǫ̴̪̰̑̒̽z̶̹̎o̴̘͂͝ ̷̅̂̒͜z̸̨̰̕ō̷̩̋͗z̵̟͗o̶̯̐ ̶̖̜͐̇z̵̡̛̛̞͊õ̷͙̗̽z̸̬̠̜̀̕͠o̴̹̍̓ ̶̟̈̌͘ź̴̙͝o̸̳͆z̴̲̾̽o̵̳̘͋͝ ̸͇̿̌z̷̛͙o̶͓͑̕ẕ̴̄̀o̴͙̝̿̕ ̷̜͘z̴̙̟̎̅o̴̢̲͐͝z̴̧͋͊ǫ̷̨͎̀ ̷̹̪̪̈́z̶̗̔͠͝o̴̪͝z̶͚̤̰̾o̸̧̍ͅ ̴̰̳͓̓̈́ź̴̘͓̭̎̀o̴̞͈̾͝z̵̖̈́͒o̷̲̪̎̍͝ ̶̡̒̌ͅz̸̧̹̪͝ǒ̷̢͚̌͠z̷̫̟͈̎͐o̵͇͈̟͆̚͠ ̵͙̑̚̚ź̵͕̲͐̐ó̸̧̮̥̋z̷̖̒͊o̷̦̽̍͜ ̸̲̃z̵̙̯̺͌̑ö̵̫́͌̌ͅz̷̡̹̜͑̔ô̷̙͌̍ ̸̢͉̩̂z̴͈̓o̷͎̜͎̎̽̉z̸͍̍ô̵̫͓̈́ ̶̥̝̽͑͛z̷̻͈͘͠o̸̤̓̈́z̵̼͉̰̊́̃ō̷̫̳̿͆ ̴̦̼̀z̶̪͂̾͂ơ̶̥͚̊̑z̵̯̬̔̔ò̸̡̌ ̴̞͈̙͒̈́̋ẕ̶̪̀̈͌o̵̡̳̐̚͝z̷͖̩̥̚o̴̟̮͝ ̷͎̐z̶̩̅̔͋ö̷̖́ź̶̢͇̈́o̸̞͒̅ ̴͓̽̈̆ͅz̵̜͙̯̓ò̷̞́z̴̼̗͙͂o̸̩̲͍̍ ̸̣̖̈̌z̸̟͗̐o̷̡͒̊z̷͇̠͐̚ǫ̵͇̓ ̴̟̊̽͠z̵͇̝̉͠ͅȯ̷̲̗͂͂z̴̢͈̥̈̉̽o̵̲͎̒͠ ̸̯̣̰̇̕͝z̸͍͝ȍ̸̫͊ž̵͓͇̀̽ǒ̷̩͓̫̈́͒ ̷̟̂́̅z̶͔̀̚ö̸̃̏͜z̶͈̋o̴̬͒̽ ̵̪̮̓̃͐z̸͈͎͍̚o̴̥̣͐z̸̨̻̗̑̾o̴̹̟̍͗ ̶͈̈́z̸̳͐̀͂ö̴͕́̂z̵̨̨̎o̴̝͌ ̸̲͇̟̿̾̌ẑ̸̙͉̅o̴̳̰͛͝ẕ̵̹̭̚ô̴̺ ̷̜̋̈z̸̻̀ö̸̪͔́͗z̴̡̰͎̄̎o̷̲̻͛̆́ ̷̨̞̈́̚z̶̳̿̾õ̸̼͉z̶̲̈́̍o̸̮̮̹͊̽ ̸̥̰̂z̸̲̄̓̕ơ̵̡z̸̗̯͔̓̀̈́ò̸̩͍̙̾ ̵͕̮̯̔̿͗z̵̹͎̈́̊̏o̵͓͓͗ż̸̟̻͜͠ȍ̵͜ ̴̭͕̺͊͝z̶̰͚͓̀o̸͇͓͛͌z̸̫͗̓̎ó̸̤͈̥͝͝ ̸̹͙͛͆̇z̴̡̭͎̈́̋ọ̷̱̗͗z̸͎̗͎̓ó̶̬ ̴͛̇͜z̸̖͘o̶͍̅̋̑ͅz̴̘̘͆ȍ̴ͅ ̸̲̘͖͋͌z̵̹̭͕̋͆̓ỏ̸̢̟̭͝z̶͓͇̯̀̌o̶̭̯͒͝ ̷͚͉̭̈́͝z̵̠͈̀̌o̷̥͕̓͜͠z̶̢̫̣̀ǒ̴͜ ̶͖̅͛z̶͓̎̏o̶͕̾̚͠z̴͈͗̃o̶̮͆̂͝ ̶̦̒̄z̷̤̅o̸̮̊̽ẑ̶̡̳͈͑͘o̶͈͆͌̀ ̸̯̙̥͆͆̕z̶͎̬̲̓͝o̸̢͖̞̔z̸͎͔̮̏ò̴̹͉̔̔ ̵̼͊͝z̷̢̝͕̄͑̂ọ̶͑z̵͇̆̌ọ̵͆ ̶̱͚͓̓z̷̡̗̮͐́͠ơ̸͎̫̠̎z̴̳͊͗͝o̵̧̪̭̚͝ ̶͎̻͖̅z̶͓͇̊̅̋o̸̠͇̔z̶̬̈́o̸͖͖̗̽͑ ̴̯͖̠̄͑̚ź̵̼̪̔ó̸͉z̴̳͚̬̓̍̾ò̸̭ ̷̢͓̒̉̿z̴͚̘͙͝ô̷͙z̶͎̤͉̀̐o̵͙͈͆͋͝ ̴̥̾z̴̬̭͙̏̈̕ṓ̴͍͠z̵̘͂̽ͅo̶͚̅̓̕ ̸̧͈͌͆z̷̨̓̐͗ơ̴͈͎̂̆z̶̙̟̀o̵̫͛͆́ ̸̖̀̑̂,24,8,
52,We want answers... ^(answers),14,3,The show's intro
267,"No, no, no! Stop! Stop it! I''m being serious.",14,3,Old Bullion Plaza School
187,"Nobody''s perfect, unless you''re Paris Hilton - wait, she has gigantic clown feet.",14,3,I am Haunted: Living Life Through the Dead (Book)
110,"It literally felt like we were in the video game '"Doom'".",14,3,Fort Chaffe
179,It's like I'm trying to overdose on ghosts. I'm an addict.,14,3,I am Haunted: Living Life Through the Dead (Book)
226,I never believed in ghosts until I came face-to-face with one.,14,3,The show's old intro
181,This day and age makes me sick sometimes.,15,3,I am Haunted: Living Life Through the Dead (Book)
157,And that's what we do when we see evil -- run like hell.,14,3,Hill View Manor
274,Are you eating a beef stick? In the midst of all of this you're eating a beef stick?,14,3,Acadia Ranch Sanitorium
72,"I feel an ice-cold pocket of air, as if something is manifesting!",14,3,Lost Souls of the Berkeley
275,"At this moment, one of our X-cams in the men''s bathroom captures something compelling.",14,3,Nightmare at the Roxie
164,"Are you here, little kid? Don''t be afraid.",14,3,Whitmore Mansion
272,"Ow, Billy, I''m getting that pricking feeling!",21,2,Nightmare at the Roxie
265,"I continue trying to communicate with this female, but she never speaks again.",14,3,Old Bullion Plaza School
227,Aaron can go from happy and laughing to Dark Aaron in a second. I call him The Complainer.,17,0,I am Haunted: Living Life Through the Dead (Book)
228,"For the investigation, we need to find women, put masks on them, and and, uhhhh, have us recreate these orgies.",14,3,Hellfire Caves
203,The one thing we don't do is bitch about things.,14,3,Fort Chaffee
154,"This house was calling to me for something, in some psychic way.",14,3,Montecito Mansion Of Mystery
273,"The guy is connecting with me, wants my energy. He knows that, like, I''m alpha, and he wants to use my power.",14,3,Acadia Ranch Sanitorium
190,"At one point, Darren''s wife came back to the house with her pants unbuttoned and belt undone and said that Zozo had attacked her.",14,3,I am Haunted: Living Life Through the Dead (Book)
221,*... understand...*,87,7,
271,I feel something inside my chest. It's cold inside my rib cage.,22,2,Nightmare at the Roxie
184,"We act goofy and strange sometimes, which the haters love. '"Oh, there they go, possessed again,'" they say.",14,3,I am Haunted: Living Life Through the Dead (Book)
167,I felt like I just got stung by a... a spider.,14,3,LA Police Station Invasion
189,I knew I had done something bad and freaked out a little. I actually ran to the bathroom to look for the knife I had used to stab everyone to make it sure it was still there and not bloody.,14,3,I am Haunted: Living Life Through the Dead (Book)
220,{author} mentioned the number '3'. They must be mocking the Trinity.,58,6,
172,I hear something move in the office. Then an energy shoots towards me.,15,3,Petrified in Pahrump
104,You have reached your final destination. *Hell.*,14,3,Poveglia Island
101,Sometimes we have feelings and we can't ignore them.,14,3,Riddle House
264,"Suddenly, I am overcome with fear and sadness.",14,3,Old Bullion Plaza School
48,RAW. EXTREME.,14,3,The show's old intro
155,"Something led me, personally, to this building. It called out, and I answered its call.",14,3,Montecito Mansion Of Mystery
270,"I suddenly feel inexplicably exhausted, to the point that I can barely stand up.",21,2,Nightmare at the Roxie
19,"As Aaron asks '"Why is he being affected'", an unexplained light anomaly shoots directly into him.",16,0,Whitmore Mansion
31,"Aaron, use extreme provocation.",16,0,Chaos in Emmaus (House Calls)
34,A witch doused Aaron in goat's blood during a pagan ritual. He wasn't the same after that ceremony.,16,0,I am Haunted: Living Life Through the Dead (Book)
223,z̵̦͌̄o̷͉̻̽̽͗ͅz̷̮̖͗o̶͔͎̱͑͘ ̶̢̩͌̊̀f̷̫̏͋̚o̴̺̒͂̎u̷̖̠̎̐ň̵͕̆d̶̟̎̀̌ ̷̛̙̏u̷̹̣̭̔̏s̵̗̾ ̴̼͉͑̀͊z̸͎̿̐ͅo̸̲̝͍̚z̶̯̖͓̀̌̀ō̵̖̬̃̒ ̶͔̮͈̂f̸̱͇̀̒͘o̵͉̞̗͋u̸̬̓ṅ̴͚̻̑̾ḓ̸̑̓ ̵̣͛ǔ̵͉̩̞s̴̗͔͉̆ ̸̡̳̿͒̂z̶̠̭̐ö̵̦̱́͘̕z̸̞̫̖̃͌͋ő̶̼̫̞͐͘ ̷̍̀͗ͅf̵̘͔͂ȏ̸͚̘͑̋u̷̝̓n̷̢̛̫͑̆͜d̷̰͔̏ ̵̱͍̫̆ú̶̧̥̼̔͝s̷̞̖̐̕ͅ ̶̼̾͋z̶̢̈ó̴̤̫z̴̳̞̊̓õ̵͈͓ ̴̹̲̊̑f̸̪̔̈́o̴͎͊́ů̷͔͇̥͝ņ̶͈̋̈́͝ḑ̴̯̟̓̀̔ ̸͖̩͆ủ̸͙̕s̷̤̄ ̴̢̤̈́̂̿z̶̻̘͑õ̷͇͎̩z̴̳̗̿̑ỏ̸̜͔̅ ̷̨̘̈͘f̴̙̭͛̇o̷̬̘͎͑̄ư̷̰͙̗̍n̴̰͋̇̽d̵̮͈̱͊ ̵͍̋ų̴̳̳͂s̵͙̓̎͊ ̴͍̯̯̈̌,24,8,
50,You wanted us; you got us!,14,3,The show's old intro
294,"Now, the authorities are turning to us for help.",14,3,Ghost Island
293,"We are truly in a different dimension, guys.",14,3,Ghost Island
292,"It is at this time, I feel it is necessary to conduct a field-sobriety test on Billy.",14,3,Sutro Ghost Town
196,"I question God and Jesus, but I don''t question exorcists.",14,3,I am Haunted: Living Life Through the Dead (Book)
282,We are dealing with a very strong place.,14,3,Fear in Flagstaff
185,"In The Matrix, Keanu Reeves is injected with new programs and he evolves with each new packet of knowledge. It''s the same for me.",14,3,I am Haunted: Living Life Through the Dead (Book)
177,We swim in the spiritual ocean while everyone else is snorkeling.,14,3,I am Haunted: Living Life Through the Dead (Book)
109,"This place is a ghost town, and a ghost town is this place.",14,3,Vulture Mine
32,At some point Aaron and I started calling each other G and talking in a slur for no reason.,16,0,I am Haunted: Living Life Through the Dead (Book)
284,I felt nirvana. I felt ecstasy. I felt an escape from everything. I felt so great. I felt like I wanted to have sex.,22,2,Fear in Flagstaff
296,"Because Aaron is the most affected, I decide to leave him down here alone.",17,0,Orcutt Ranch
287,"Without warning, I''m overcome with a sense of dread.",14,3,Village of Lost Souls
29,"Tell Aaron to use provocation, since he''s feeling rage.",17,0,Jacksonville Family Curse (House Calls)
285,"The moment Aaron opens the door, a putrid odor fills the hallway.",17,0,Hotel San Carlos
51,There are things in this world we will never fully understand... ^(understand),15,3,The show's intro
143,Ouch! I got a pain on the left side of my head.,14,3,The Great Saltair Curse
182,Ghost Adventures is a serene island in an ocean of chaos.,14,3,I am Haunted: Living Life Through the Dead (Book)
55,"This is our evidence, our Ghost Adventures.",15,3,The show's intro
268,"🎶 I like to play with toys, I brought my boys 🎶 Aaron likes to play with toys, a lot 🎶 And so we''re gonna come up the stairs 🎶 And we want you to sing with us, ''cause we don''t like to ride the bus 🎶",14,3,Old Bullion Plaza School
20,"Just as Aaron discovers this creepy room, a voice tells him to be careful.",17,0,Whitmore Mansion
286,I just feel like I shouldn't have asked to go to the sixth dimension.,21,2,King Gillette Ranch
173,We have created like an electromagnetic roadway for any of these entities that are listening to me now.,14,3,Crisis in Long Beach (House Calls)
197,"We tried to summon Satan. We tried to call him out. I hate to admit it, but we thought we could pull it off, and I witnessed one of the most disturbing things I''ve ever seen.",14,3,I am Haunted: Living Life Through the Dead (Book)
103,This makes me angry against the Spanish.,14,3,Castillo De San Marcos
134,Was this spirit being a smart ass?,15,3,Twin Bridges Orphanage
291,It is obvious that these spirits want to quickly get to the saloon to get drunk.,15,3,Sutro Ghost Town
295,"It felt like a superhero turned me to ice, but with energy in it.",22,2,Ghost Island
105,"Not only did we come back, but we came... with a female!",14,3,Ohio State Reformatory
183,"Will I pass out on the floor and be trapped in another time, while doctors call it '"a stroke'"?",14,3,I am Haunted: Living Life Through the Dead (Book)
281,"Bro, I just got energy out of nowhere. I''m just like ice-cold. Are you guys cold? Is it cold in here? ",14,3,Lockdown in Lancaster
278,"I''m a sensitive. I feel emotions, and sometimes, people just don''t understand that.",14,3,Hotel Barclay
289,I feel as though we are diving dangerously deep into the chaotic spiritual dimension on this island.,22,2,Devil Island
299,"If trees had eyes, we are definitely being watched.",14,3,Orcutt Ranch
33,How many times will Aaron fart on live TV? How will I edit that out?,17,0,I am Haunted: Living Life Through the Dead (Book)
128,It's not me. I wear deodorant. I do not have B.O.,14,3,Apache Junction
151,We will put ourselves on the line to answer anybody's call for help.,15,3,Emergency in Elk Grove
1,I'm sending Aaron in alone to investigate.,17,0,
297,Were you in here going potty?,14,3,Orcutt Ranch
99,You guys are just a bunch of evil cowards; that's what you guys are.,14,3,Bobby Mackey’s Music World
198,"There was murders, there was mayhem, and all of this has settled down to the bottom like gold in a gold pan, and it''s just waiting down there. That''s where the secrets are kept.",14,3,
100,"Its 4:17 in the morning, I''m in the basement, and things are about to get weird.",14,3,Houghton Mansion
306,I got rejected by a ghost! I totally feel rejected.,21,2,Terror on 25th Street
307,"We''re very serious investigators, but we''re also humorous guys. At least we think so.",14,3,Terror on 25th Street
301,I just felt a cold wind go over my left ear.,21,2,Skinwalker Invasion
102,"When we create emotions it''s kind of like we''re sweating, and what comes off of our skin is like energy.",14,3,Former Psychiatric Hospital
9,"Aaron, you go in first.",16,0,Lost Souls of the Berkeley
202,The one thing we don't do is touch or cut my hair.,14,3,Fort Chaffee
107,This is what it feels like to be in the civil war. That's why we do this.,14,3,Gettysburg
145,"Hi I''m Zak, what''s your name? Do you want a beer? Do you want a cigarette?",14,3,Terror at the Toy Shop
114,This right here-water- is what killed all the people in Sacramento.,14,3,Sacramento Tunnels
28,I feel like doing this whole Zoom call thing with Aaron was a bad idea.,16,0,Jacksonville Family Curse (House Calls)
